"date";"grantee";"EnrollmentPer";"EnrollmentNum";"EnrollmentDen";"ExitTotal";"ExitSuc";"ExitUn";"GEDPer";"GEDNum";"GEDDen";"RegAp";"PlacementPer";"PlacementNum";"PlacementDen";"AttainmentPer";"AttainmentNum";"AttainmentDen";"LitPer";"LitNum";"LitDen";"RecidivismPer";"RecidivismNum";"RecidivismDen";"RetentionPer";"RetentionNum";"RetentionDen";"active_students"
2016-02-12;"Just-A-Start Corporation";"100 ";"64 ";"64 ";"64 ";"59 ";"1 ";"60 ";"36 ";"60 ";"0 ";"85 ";"51 ";"60 ";"93 ";"56 ";"60 ";"90 ";"46 ";"51 ";"0 ";"0 ";"6 ";"84 ";"43 ";"51 ";0
2016-02-12;"YMCA of Greater New York";"100 ";"62 ";"62 ";"62 ";"59 ";"2 ";"56 ";"34 ";"61 ";"0 ";"56 ";"34 ";"61 ";"70 ";"43 ";"61 ";"57 ";"31 ";"54 ";"0 ";"0 ";"9 ";"65 ";"22 ";"34 ";0
2016-02-12;"Bay Consortium Workforce Investment Board";"100 ";"56 ";"56 ";"56 ";"43 ";"13 ";"63 ";"25 ";"40 ";"0 ";"38 ";"21 ";"56 ";"71 ";"40 ";"56 ";"67 ";"36 ";"54 ";"21 ";"4 ";"19 ";"52 ";"11 ";"21 ";0
2016-02-12;"Total Action Against Poverty in the Roanoke Valley";"102 ";"61 ";"60 ";"61 ";"42 ";"1 ";"33 ";"14 ";"42 ";"0 ";"79 ";"34 ";"43 ";"93 ";"40 ";"43 ";"75 ";"30 ";"40 ";"0 ";"0 ";"14 ";"91 ";"31 ";"34 ";0
2016-02-12;"WESTMORELAND-FAYETTE WORKFORCE INVESTMENT BOARD";"100 ";"48 ";"48 ";"48 ";"37 ";"11 ";"44 ";"19 ";"43 ";"0 ";"60 ";"29 ";"48 ";"88 ";"42 ";"48 ";"85 ";"41 ";"48 ";"0 ";"0 ";"5 ";"62 ";"18 ";"29 ";0
2016-02-12;"Benedict-Allen Community Development Corporation";"104 ";"47 ";"45 ";"47 ";"44 ";"0 ";"33 ";"14 ";"42 ";"0 ";"32 ";"14 ";"44 ";"77 ";"34 ";"44 ";"54 ";"22 ";"41 ";"0 ";"0 ";"5 ";"0 ";"0 ";"14 ";0
2016-02-12;"Big Bend Jobs & Education Council, Inc. dba Workforce Plus";"103 ";"62 ";"60 ";"62 ";"59 ";"3 ";"46 ";"25 ";"54 ";"7 ";"39 ";"24 ";"62 ";"92 ";"57 ";"62 ";"82 ";"49 ";"60 ";"22 ";"5 ";"23 ";"29 ";"7 ";"24 ";0
2016-02-12;"NORTHERN KENTUCKY COMMUNITY ACTION COMMISSION, INC.";"108 ";"66 ";"61 ";"66 ";"42 ";"10 ";"42 ";"22 ";"52 ";"0 ";"60 ";"31 ";"52 ";"77 ";"40 ";"52 ";"78 ";"39 ";"50 ";"17 ";"3 ";"18 ";"23 ";"7 ";"31 ";0
2016-02-12;"Smart Choices for Youth, Inc.";"100 ";"50 ";"50 ";"50 ";"48 ";"2 ";"21 ";"9 ";"43 ";"0 ";"52 ";"26 ";"50 ";"40 ";"20 ";"50 ";"62 ";"28 ";"45 ";"20 ";"1 ";"5 ";"58 ";"15 ";"26 ";0
2016-02-12;"West Jackson Community Development Corporation";"100 ";"70 ";"70 ";"70 ";"65 ";"1 ";"56 ";"37 ";"66 ";"0 ";"77 ";"51 ";"66 ";"73 ";"48 ";"66 ";"65 ";"42 ";"65 ";"0 ";"0 ";"1 ";"84 ";"43 ";"51 ";0
2016-02-12;"BCFS Health and Human Services";"105 ";"84 ";"80 ";"84 ";"66 ";"3 ";"38 ";"24 ";"63 ";"0 ";"49 ";"34 ";"69 ";"65 ";"45 ";"69 ";"46 ";"26 ";"57 ";"4 ";"1 ";"24 ";"53 ";"18 ";"34 ";0
2016-02-12;"Career Training Institute";"102 ";"57 ";"56 ";"57 ";"41 ";"3 ";"57 ";"24 ";"42 ";"0 ";"61 ";"27 ";"44 ";"59 ";"26 ";"44 ";"68 ";"23 ";"34 ";"29 ";"2 ";"7 ";"81 ";"22 ";"27 ";0
2016-02-12;"Community Development Corporation of Brownsville";"159 ";"70 ";"44 ";"70 ";"61 ";"2 ";"48 ";"30 ";"62 ";"0 ";"44 ";"28 ";"63 ";"89 ";"56 ";"63 ";"72 ";"41 ";"57 ";"0 ";"0 ";"14 ";"39 ";"11 ";"28 ";0
2016-02-12;"GEORGE GERVIN YOUTH CENTER, INC.";"117 ";"75 ";"64 ";"75 ";"58 ";"16 ";"85 ";"51 ";"60 ";"0 ";"51 ";"38 ";"74 ";"72 ";"53 ";"74 ";"71 ";"52 ";"73 ";"12 ";"5 ";"43 ";"55 ";"21 ";"38 ";0
2016-02-12;"HELP-New Mexico, Inc.";"123 ";"49 ";"40 ";"49 ";"28 ";"16 ";"21 ";"8 ";"38 ";"0 ";"52 ";"23 ";"44 ";"52 ";"23 ";"44 ";"62 ";"26 ";"42 ";"38 ";"5 ";"13 ";"48 ";"11 ";"23 ";0
2016-02-12;"LITTLE ROCK WORKFORCE INVESTMENT BOARD";"102 ";"61 ";"60 ";"61 ";"42 ";"10 ";"41 ";"15 ";"37 ";"0 ";"58 ";"30 ";"52 ";"65 ";"34 ";"52 ";"80 ";"41 ";"51 ";"17 ";"2 ";"12 ";"77 ";"23 ";"30 ";0
2016-02-12;"Ogden-Weber Applied Technology College";"101 ";"73 ";"72 ";"73 ";"55 ";"7 ";"86 ";"51 ";"59 ";"0 ";"77 ";"48 ";"62 ";"76 ";"47 ";"62 ";"93 ";"51 ";"55 ";"0 ";"0 ";"31 ";"81 ";"39 ";"48 ";0
