"date";"grantee";"EnrollmentPer";"EnrollmentNum";"EnrollmentDen";"ExitTotal";"ExitSuc";"ExitUn";"GEDPer";"GEDNum";"GEDDen";"RegAp";"PlacementPer";"PlacementNum";"PlacementDen";"AttainmentPer";"AttainmentNum";"AttainmentDen";"LitPer";"LitNum";"LitDen";"RecidivismPer";"RecidivismNum";"RecidivismDen";"RetentionPer";"RetentionNum";"RetentionDen";"active_students"
2016-02-12;"Abyssinian Development Corporation";"119 ";"80 ";"67 ";"80 ";"68 ";"11 ";"32 ";"25 ";"79 ";"0 ";"68 ";"54 ";"79 ";"59 ";"47 ";"79 ";"65 ";"44 ";"68 ";"0 ";"0 ";"6 ";"94 ";"51 ";"54 ";0
2016-02-12;"Chautauqua Home Rehabilitation and Improvement Corporation";"149 ";"58 ";"39 ";"58 ";"43 ";"14 ";"65 ";"37 ";"57 ";"0 ";"26 ";"15 ";"57 ";"95 ";"54 ";"57 ";"70 ";"40 ";"57 ";"0 ";"0 ";"30 ";"60 ";"9 ";"15 ";0
2016-02-12;"Co-opportunity Inc.";"100 ";"67 ";"67 ";"67 ";"57 ";"10 ";"22 ";"12 ";"55 ";"0 ";"60 ";"40 ";"67 ";"54 ";"36 ";"67 ";"53 ";"32 ";"60 ";"0 ";"0 ";"17 ";"78 ";"31 ";"40 ";0
2016-02-12;"Commission on Economic Opportunity";"131 ";"88 ";"67 ";"88 ";"69 ";"9 ";"45 ";"35 ";"78 ";"0 ";"64 ";"50 ";"78 ";"86 ";"67 ";"78 ";"90 ";"61 ";"68 ";"7 ";"2 ";"28 ";"70 ";"35 ";"50 ";0
2016-02-12;"Cypress Hills Local Development Corporation";"102 ";"50 ";"49 ";"50 ";"45 ";"1 ";"26 ";"12 ";"46 ";"0 ";"37 ";"17 ";"46 ";"65 ";"30 ";"46 ";"49 ";"21 ";"43 ";"0 ";"0 ";"10 ";"41 ";"7 ";"17 ";0
2016-02-12;"Goodwill Industries of Northern New England";"101 ";"71 ";"70 ";"71 ";"56 ";"13 ";"40 ";"25 ";"62 ";"0 ";"42 ";"29 ";"69 ";"75 ";"52 ";"69 ";"52 ";"34 ";"66 ";"17 ";"7 ";"41 ";"55 ";"16 ";"29 ";0
2016-02-12;"ISLES, INC.";"201 ";"135 ";"67 ";"135 ";"59 ";"64 ";"30 ";"37 ";"123 ";"0 ";"10 ";"12 ";"123 ";"41 ";"51 ";"123 ";"31 ";"36 ";"118 ";"12 ";"4 ";"33 ";"33 ";"4 ";"12 ";0
2016-02-12;"Jubilee Homes of Syracuse, Inc.";"123 ";"54 ";"44 ";"54 ";"38 ";"12 ";"36 ";"18 ";"50 ";"0 ";"60 ";"30 ";"50 ";"72 ";"36 ";"50 ";"72 ";"33 ";"46 ";"0 ";"0 ";"3 ";"70 ";"21 ";"30 ";0
2016-02-12;"Northeast Parent and Child Society, Inc.";"100 ";"72 ";"72 ";"72 ";"65 ";"6 ";"58 ";"41 ";"71 ";"0 ";"72 ";"51 ";"71 ";"90 ";"64 ";"71 ";"80 ";"47 ";"59 ";"0 ";"0 ";"10 ";"49 ";"25 ";"51 ";0
2016-02-12;"Nubian Directions II, Inc.";"102 ";"47 ";"46 ";"47 ";"22 ";"14 ";"32 ";"11 ";"34 ";"0 ";"50 ";"18 ";"36 ";"44 ";"16 ";"36 ";"67 ";"24 ";"36 ";"33 ";"2 ";"6 ";"78 ";"14 ";"18 ";0
2016-02-12;"OLD COLONY Y";"137 ";"92 ";"67 ";"92 ";"59 ";"0 ";"59 ";"35 ";"59 ";"0 ";"88 ";"52 ";"59 ";"98 ";"58 ";"59 ";"100 ";"59 ";"59 ";"0 ";"0 ";"6 ";"85 ";"44 ";"52 ";0
2016-02-12;"Settlement Housing Fund Inc.";"100 ";"67 ";"67 ";"67 ";"57 ";"0 ";"56 ";"32 ";"57 ";"0 ";"53 ";"30 ";"57 ";"96 ";"55 ";"57 ";"61 ";"28 ";"46 ";"0 ";"0 ";"2 ";"77 ";"23 ";"30 ";0
2016-02-12;"Training Resources of America Incorporated";"100 ";"31 ";"31 ";"31 ";"27 ";"3 ";"53 ";"16 ";"30 ";"1 ";"50 ";"15 ";"30 ";"77 ";"23 ";"30 ";"62 ";"13 ";"21 ";"0 ";"0 ";"4 ";"80 ";"12 ";"15 ";0
2016-02-12;"Urban League of Rochester, NY, Inc.";"113 ";"76 ";"67 ";"76 ";"43 ";"22 ";"38 ";"25 ";"65 ";"0 ";"57 ";"37 ";"65 ";"58 ";"38 ";"65 ";"50 ";"31 ";"62 ";"7 ";"1 ";"14 ";"81 ";"30 ";"37 ";0
2016-02-12;"WORKFORCE INVESTMENT BOARD OF HERKIMER, MADISON AND ONEIDA COUNTIES";"110 ";"67 ";"61 ";"67 ";"52 ";"12 ";"52 ";"33 ";"63 ";"0 ";"61 ";"39 ";"64 ";"52 ";"33 ";"64 ";"56 ";"32 ";"57 ";"10 ";"1 ";"10 ";"51 ";"20 ";"39 ";0
2016-02-12;"Western New York AmeriCorps Fund";"100 ";"64 ";"64 ";"64 ";"31 ";"31 ";"8 ";"4 ";"49 ";"0 ";"21 ";"13 ";"62 ";"31 ";"19 ";"62 ";"42 ";"25 ";"60 ";"16 ";"3 ";"19 ";"85 ";"11 ";"13 ";0
2016-02-12;"Youth Action Programs and Homes, Inc";"123 ";"79 ";"64 ";"79 ";"67 ";"9 ";"46 ";"35 ";"76 ";"0 ";"41 ";"31 ";"76 ";"80 ";"61 ";"76 ";"48 ";"29 ";"61 ";"0 ";"0 ";"10 ";"74 ";"23 ";"31 ";0
2016-02-12;"YouthBuild Newark, Inc.";"191 ";"128 ";"67 ";"128 ";"115 ";"10 ";"35 ";"41 ";"118 ";"0 ";"44 ";"55 ";"125 ";"86 ";"107 ";"125 ";"73 ";"85 ";"116 ";"0 ";"0 ";"29 ";"60 ";"33 ";"55 ";0
2016-02-12;"Central Pennsylvania Workforce Development Corporation";"100 ";"67 ";"67 ";"67 ";"36 ";"28 ";"58 ";"37 ";"64 ";"0 ";"44 ";"28 ";"64 ";"59 ";"38 ";"64 ";"76 ";"41 ";"54 ";"35 ";"12 ";"34 ";"57 ";"16 ";"28 ";0
2016-02-12;"Connection Training Services";"110 ";"74 ";"67 ";"74 ";"50 ";"10 ";"22 ";"11 ";"51 ";"3 ";"73 ";"44 ";"60 ";"77 ";"46 ";"60 ";"72 ";"42 ";"58 ";"5 ";"1 ";"22 ";"91 ";"40 ";"44 ";0
2016-02-12;"Crispus Attucks Association of York, Pennsylvania";"285 ";"191 ";"67 ";"191 ";"109 ";"76 ";"56 ";"103 ";"185 ";"0 ";"22 ";"41 ";"185 ";"56 ";"104 ";"185 ";"57 ";"77 ";"136 ";"0 ";"0 ";"39 ";"32 ";"13 ";"41 ";0
2016-02-12;"Garfield Jubilee Association, Inc.";"113 ";"61 ";"54 ";"61 ";"44 ";"10 ";"67 ";"31 ";"46 ";"0 ";"56 ";"30 ";"54 ";"67 ";"36 ";"54 ";"92 ";"48 ";"52 ";"0 ";"0 ";"0 ";"83 ";"25 ";"30 ";0
