"date";"grantee";"EnrollmentPer";"EnrollmentNum";"EnrollmentDen";"ExitTotal";"ExitSuc";"ExitUn";"GEDPer";"GEDNum";"GEDDen";"RegAp";"PlacementPer";"PlacementNum";"PlacementDen";"AttainmentPer";"AttainmentNum";"AttainmentDen";"LitPer";"LitNum";"LitDen";"RecidivismPer";"RecidivismNum";"RecidivismDen";"RetentionPer";"RetentionNum";"RetentionDen";"active_students"
2016-02-12;"ISLES, INC.";"101 ";"71 ";"70 ";"39 ";"29 ";"10 ";"28 ";"20 ";"71 ";"0 ";"72 ";"28 ";"39 ";"46 ";"33 ";"71 ";"31 ";"22 ";"70 ";"20 ";"1 ";"5 ";"68 ";"17 ";"25 ";32
2016-02-12;"LEARNINGWORKS";"102 ";"66 ";"65 ";"66 ";"56 ";"4 ";"43 ";"26 ";"60 ";"0 ";"87 ";"52 ";"60 ";"87 ";"52 ";"60 ";"84 ";"42 ";"50 ";"0 ";"0 ";"13 ";"72 ";"26 ";"36 ";0
2016-02-12;"MOHAWK VALLEY COMMUNITY COLLEGE";"103 ";"77 ";"75 ";"77 ";"67 ";"10 ";"28 ";"21 ";"75 ";"0 ";"70 ";"54 ";"77 ";"78 ";"60 ";"77 ";"89 ";"65 ";"73 ";"12 ";"2 ";"17 ";"83 ";"29 ";"35 ";0
2016-02-12;"THE PROVIDENCE PLAN";"103 ";"66 ";"64 ";"66 ";"54 ";"0 ";"52 ";"28 ";"54 ";"0 ";"35 ";"19 ";"54 ";"65 ";"35 ";"54 ";"49 ";"25 ";"51 ";"0 ";"0 ";"0 ";"75 ";"12 ";"16 ";0
2016-02-12;"THE SERVICE COLLABORATIVE OF WNY, INC.";"100 ";"64 ";"64 ";"61 ";"44 ";"15 ";"42 ";"26 ";"62 ";"1 ";"61 ";"36 ";"59 ";"74 ";"46 ";"62 ";"95 ";"57 ";"60 ";"0 ";"0 ";"5 ";"100 ";"20 ";"20 ";3
2016-02-12;"TRAINING RESOURCES OF AMERICA";"100 ";"64 ";"64 ";"61 ";"56 ";"5 ";"55 ";"35 ";"64 ";"0 ";"28 ";"17 ";"61 ";"83 ";"53 ";"64 ";"82 ";"45 ";"55 ";"0 ";"0 ";"18 ";"65 ";"11 ";"17 ";3
2016-02-12;"URBAN LEAGUE OF ROCHESTER, NY, INC.";"103 ";"69 ";"67 ";"44 ";"39 ";"4 ";"19 ";"12 ";"62 ";"0 ";"60 ";"26 ";"43 ";"78 ";"53 ";"68 ";"85 ";"55 ";"65 ";"8 ";"1 ";"13 ";"58 ";"14 ";"24 ";25
2016-02-12;"YOUTHBUILD NEWARK, INC.";"100 ";"100 ";"100 ";"100 ";"88 ";"3 ";"83 ";"73 ";"88 ";"0 ";"67 ";"61 ";"91 ";"89 ";"81 ";"91 ";"77 ";"60 ";"78 ";"8 ";"2 ";"25 ";"72 ";"39 ";"54 ";0
2016-02-12;"CONNECTION TRAINING SERVICES";"109 ";"72 ";"66 ";"72 ";"58 ";"14 ";"8 ";"5 ";"66 ";"0 ";"72 ";"52 ";"72 ";"76 ";"55 ";"72 ";"87 ";"61 ";"70 ";"0 ";"0 ";"28 ";"92 ";"22 ";"24 ";0
2016-02-12;"CRISPUS ATTUCKS ASSOCIATION";"100 ";"66 ";"66 ";"64 ";"57 ";"6 ";"83 ";"54 ";"65 ";"0 ";"60 ";"38 ";"63 ";"82 ";"53 ";"65 ";"93 ";"51 ";"55 ";"0 ";"0 ";"3 ";"61 ";"19 ";"31 ";2
2016-02-12;"GOODWILL INDUSTRIES OF THE CONEMAUGH VALLEY, INC.";"100 ";"48 ";"48 ";"39 ";"35 ";"1 ";"30 ";"11 ";"37 ";"0 ";"63 ";"22 ";"35 ";"76 ";"34 ";"45 ";"85 ";"35 ";"41 ";"0 ";"0 ";"9 ";"67 ";"12 ";"18 ";9
2016-02-12;"HOUSING AUTHORITY OF BALTIMORE CITY";"110 ";"66 ";"60 ";"54 ";"50 ";"4 ";"14 ";"7 ";"51 ";"0 ";"22 ";"12 ";"54 ";"65 ";"43 ";"66 ";"31 ";"20 ";"64 ";"0 ";"0 ";"4 ";"42 ";"5 ";"12 ";12
2016-02-12;"LATIN AMERICAN YOUTH CENTER YOUTHBUILD PUBLIC CHARTER SCHOOL";"100 ";"120 ";"120 ";"97 ";"96 ";"1 ";"16 ";"19 ";"120 ";"1 ";"51 ";"49 ";"97 ";"48 ";"57 ";"120 ";"55 ";"66 ";"120 ";"0 ";"0 ";"21 ";"65 ";"22 ";"34 ";23
2016-02-12;"PHILADELPHIA YOUTH FOR CHANGE CHARTER SCHOOL";"106 ";"76 ";"72 ";"76 ";"75 ";"1 ";"93 ";"71 ";"76 ";"0 ";"79 ";"59 ";"75 ";"99 ";"75 ";"76 ";"68 ";"45 ";"66 ";"13 ";"2 ";"15 ";"72 ";"23 ";"32 ";0
2016-02-12;"TOTAL ACTION AGAINST POVERTY IN THE ROANOKE VALLEY";"100 ";"60 ";"60 ";"60 ";"41 ";"7 ";"13 ";"6 ";"47 ";"0 ";"60 ";"29 ";"48 ";"81 ";"39 ";"48 ";"67 ";"32 ";"48 ";"29 ";"4 ";"14 ";"73 ";"16 ";"22 ";0
2016-02-12;"YWCA OF GREATER HARRISBURG";"100 ";"50 ";"50 ";"35 ";"20 ";"10 ";"24 ";"11 ";"45 ";"0 ";"50 ";"15 ";"30 ";"47 ";"21 ";"45 ";"52 ";"23 ";"44 ";"4 ";"1 ";"27 ";"0 ";"0 ";"1 ";15
2016-02-12;"CITRUS LEVY MARION REGIONAL WORKFORCE DEVELOPMENT BOARD, INC";"88 ";"63 ";"72 ";"44 ";"41 ";"3 ";"28 ";"16 ";"57 ";"0 ";"80 ";"35 ";"44 ";"84 ";"53 ";"63 ";"61 ";"34 ";"56 ";"20 ";"2 ";"10 ";"77 ";"17 ";"22 ";19
2016-02-12;"LUMBER RIVER COUNCIL OF GOVERNMENTS";"100 ";"70 ";"70 ";"47 ";"43 ";"4 ";"9 ";"6 ";"66 ";"0 ";"26 ";"12 ";"47 ";"40 ";"28 ";"70 ";"49 ";"31 ";"63 ";"0 ";"0 ";"9 ";"0 ";"0 ";"8 ";23
2016-02-12;"WIN/CITY OF MEMPHIS";"101 ";"71 ";"70 ";"41 ";"26 ";"15 ";"2 ";"1 ";"63 ";"0 ";"31 ";"12 ";"39 ";"34 ";"24 ";"71 ";"25 ";"16 ";"64 ";"0 ";"0 ";"19 ";"17 ";"2 ";"12 ";30
