"date";"grantee";"EnrollmentPer";"EnrollmentNum";"EnrollmentDen";"ExitTotal";"ExitSuc";"ExitUn";"GEDPer";"GEDNum";"GEDDen";"RegAp";"PlacementPer";"PlacementNum";"PlacementDen";"AttainmentPer";"AttainmentNum";"AttainmentDen";"LitPer";"LitNum";"LitDen";"RecidivismPer";"RecidivismNum";"RecidivismDen";"RetentionPer";"RetentionNum";"RetentionDen";"active_students"
2016-02-12;"ASPIRA INC. OF NEW JERSEY";"0 ";"0 ";"60 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";0
2016-02-12;"ECUMENICAL SOCIAL ACTION COMMITTEE, INC.";"0 ";"0 ";"84 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";0
2016-02-12;"INNOVATIVE CHARITABLE INITIATIVES, INC.";"0 ";"0 ";"64 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";0
2016-02-12;"LEARNINGWORKS - YOUTHBUILD BAYSIDE";"0 ";"0 ";"70 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";0
2016-02-12;"MOHAWK VALLEY COMMUNITY COLLEGE";"0 ";"0 ";"75 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";0
2016-02-12;"NUBIAN DIRECTIONS II, INC.";"31 ";"19 ";"62 ";"6 ";"0 ";"6 ";"0 ";"0 ";"17 ";"0 ";"0 ";"0 ";"6 ";"0 ";"0 ";"19 ";"0 ";"0 ";"18 ";"0 ";"0 ";"3 ";"0 ";"0 ";"0 ";13
2016-02-12;"PEOPLE ACTING IN COMMUNITY ENDEAVORS (PACE) INC.";"0 ";"0 ";"60 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";0
2016-02-12;"SETTLEMENT HOUSING FUND, INC.";"0 ";"0 ";"70 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";0
2016-02-12;"THE PROVIDENCE PLAN";"30 ";"19 ";"64 ";"19 ";"0 ";"19 ";"0 ";"0 ";"19 ";"0 ";"0 ";"0 ";"19 ";"0 ";"0 ";"19 ";"0 ";"0 ";"17 ";"0 ";"0 ";"1 ";"0 ";"0 ";"0 ";0
2016-02-12;"THE SERVICE COLLABORATIVE OF WNY, INC.";"28 ";"18 ";"64 ";"0 ";"0 ";"0 ";"0 ";"0 ";"18 ";"0 ";"0 ";"0 ";"0 ";"0 ";"0 ";"18 ";"0 ";"0 ";"18 ";"0 ";"0 ";"3 ";"0 ";"0 ";"0 ";18
