"date";"grantee";"EnrollmentPer";"EnrollmentNum";"EnrollmentDen";"ExitTotal";"ExitSuc";"ExitUn";"GEDPer";"GEDNum";"GEDDen";"RegAp";"PlacementPer";"PlacementNum";"PlacementDen";"AttainmentPer";"AttainmentNum";"AttainmentDen";"LitPer";"LitNum";"LitDen";"RecidivismPer";"RecidivismNum";"RecidivismDen";"RetentionPer";"RetentionNum";"RetentionDen";"active_students"
2016-02-12;"BRAND NEW DAY, INC.";"103 ";"72 ";"70 ";"72 ";"53 ";"9 ";"42 ";"26 ";"62 ";"0 ";"35 ";"22 ";"62 ";"52 ";"32 ";"62 ";"60 ";"35 ";"58 ";"0 ";"0 ";"6 ";"36 ";"8 ";"22 ";0
2016-02-12;"Biddeford Housing Authority";"103 ";"41 ";"40 ";"41 ";"38 ";"1 ";"35 ";"13 ";"37 ";"0 ";"85 ";"33 ";"39 ";"64 ";"25 ";"39 ";"57 ";"20 ";"35 ";"0 ";"0 ";"15 ";"64 ";"21 ";"33 ";0
2016-02-12;"Blackstone Valley Community Action Program";"100 ";"65 ";"65 ";"65 ";"32 ";"21 ";"17 ";"7 ";"41 ";"0 ";"36 ";"19 ";"53 ";"57 ";"30 ";"53 ";"57 ";"29 ";"51 ";"45 ";"5 ";"11 ";"26 ";"5 ";"19 ";0
2016-02-12;"Commission on Economic Opportunity for the Greater Cap. Reg.";"100 ";"77 ";"77 ";"77 ";"57 ";"8 ";"39 ";"24 ";"62 ";"0 ";"43 ";"28 ";"65 ";"80 ";"52 ";"65 ";"81 ";"48 ";"59 ";"12 ";"3 ";"26 ";"75 ";"21 ";"28 ";0
2016-02-12;"Community Renewal Team, Inc.";"100 ";"60 ";"60 ";"60 ";"50 ";"7 ";"21 ";"9 ";"43 ";"4 ";"61 ";"35 ";"57 ";"86 ";"49 ";"57 ";"80 ";"43 ";"54 ";"19 ";"3 ";"16 ";"60 ";"21 ";"35 ";0
2016-02-12;"County of Westchester";"100 ";"60 ";"60 ";"60 ";"42 ";"14 ";"17 ";"9 ";"52 ";"0 ";"59 ";"33 ";"56 ";"70 ";"39 ";"56 ";"52 ";"24 ";"46 ";"29 ";"2 ";"7 ";"48 ";"16 ";"33 ";0
2016-02-12;"HOUSING AUTHORITY OF THE CITY OF CAMDEN";"122 ";"79 ";"65 ";"79 ";"72 ";"1 ";"59 ";"42 ";"71 ";"3 ";"73 ";"53 ";"73 ";"66 ";"48 ";"73 ";"42 ";"31 ";"73 ";"0 ";"0 ";"0 ";"51 ";"27 ";"53 ";0
2016-02-12;"Lawrence Family Development and Education Fund, Inc.";"100 ";"68 ";"68 ";"68 ";"53 ";"9 ";"45 ";"28 ";"62 ";"0 ";"56 ";"35 ";"62 ";"77 ";"48 ";"62 ";"77 ";"46 ";"60 ";"9 ";"2 ";"23 ";"32 ";"11 ";"34 ";0
2016-02-12;"NORTHEAST PARENT AND CHILD SOCIETY, INC.";"100 ";"72 ";"72 ";"72 ";"66 ";"5 ";"63 ";"44 ";"70 ";"0 ";"79 ";"56 ";"71 ";"83 ";"59 ";"71 ";"92 ";"61 ";"66 ";"0 ";"0 ";"13 ";"80 ";"45 ";"56 ";0
2016-02-12;"New Jersey Community Development Corporation";"101 ";"158 ";"157 ";"158 ";"147 ";"10 ";"27 ";"43 ";"157 ";"0 ";"31 ";"48 ";"157 ";"80 ";"125 ";"157 ";"59 ";"89 ";"151 ";"0 ";"0 ";"9 ";"31 ";"15 ";"48 ";0
2016-02-12;"Northern Manhattan Improvement Corporation";"100 ";"60 ";"60 ";"60 ";"44 ";"12 ";"53 ";"29 ";"55 ";"0 ";"39 ";"22 ";"56 ";"68 ";"38 ";"56 ";"42 ";"21 ";"50 ";"0 ";"0 ";"17 ";"5 ";"1 ";"22 ";0
